category,question ,answer,bonus,final_trivia,double_jeopardy
Food & Beverage,What type of french blue cheese is made from sheeps milk?,Roquefort,,,
Food & Beverage,What 3 ingredients are in a Martini?,"Vodka, Vermouth, Lemon peel/olive",,,
Food & Beverage,The stewed vegetable dish Ratatouille originated from what city in France?,Nice,,,
Food & Beverage,Haggis is the national food dish of what country?,Scotland,,,
Food & Beverage,"What drink, popular in polynesian culture, numbs the mouth and is sadi to have soothing qualities?",Kava,,,
Food & Beverage,What is the name of the powdered substance made from finely ground green tea leaves?,Matcha,,,
Food & Beverage,What is the name of the process that heats food and milk to kill harmful microorganisms? named after the scientist who discovered it Louis Pasteur,Pasteurization,,,
Food & Beverage,What Naples specialty was first sold in America by Gennaro Lombari in 1905 on Manhattan's Spring Street? What was the name of the restaurant it was sold at? ,"Pizza, Lombardi's Pizzeria",,,TRUE
Food & Beverage,What preparation involves drizzling food with liquor and briefly setting it on fire?,Flambe,,,
,What is SPAM short for?,Spiced Ham,TRUE,,
"Not So Common Sense,Sports","With 16, California has the most professional sports teams playing in the big four leagues (MLB, NFL, NBA, NHL). With 9 teams in total, what state has the second most professional sports teams? (consider the name of the team, not the state in which it plays)",New York,,,
Not So Common Sense,"A public sculpture, nicknamed ""The Bean"", by Indian-born British artist Sir Anish Kapoor, is the centerpiece of AT&T Plaza at Millennium Park in the Loop community area of Chicago, Illinois. What is the official name of this sculpture?",Cloud Gate,,,
Not So Common Sense,"At 16,024 ft, Puncak Jaya (also known as Carstensz Pyramid), the highest summit of Mount Jayawijaya or Mount Carstensz, is the highest mountain located on an island. On what island, the second largest in the world, will you find Puncak Jaya?",Papa New Guinea,,,
Not So Common Sense,"What company, best known for high end camera equipment, makes the Hydrogen One smartphone? The phone's 5.7 inch holographic display can capture and present full 3D images without any special eyewear.",RED ,,,
Not So Common Sense,"What space probe, launched in 1972, and which completed the first mission to the planet Jupiter, became the first of five artificial objects to achieve the escape velocity that will allow it to leave the Solar System?",Pioneer 10,,,
Not So Common Sense,"Traditionally males and females are both referred to as ballerinas. However, the italians have a distinction. What is the Italian name for a male ballerina?   ",Ballerino,,,
"Not So Common Sense,Presidents","What does the ""F"" in John F. Kennedy stand for?",Fitzgerald,,,
Not So Common Sense,What is the most plentiful gas in Earth's atmosphere?,Nitrogen,,,
Not So Common Sense,"Which 2 Scrabble tiles are worth 10 points each?	","Q, Z",,,TRUE
Not So Common Sense,"What is the Japanese word for Carp, specifically those bred for their color in ponds?",Koi,,,
Not So Common Sense,The Hoover Dam provides energy for what 3 states?  ,"Nevada, Arizona, California",TRUE,,
History,"Alaska has, by far, the most ocean coastline in the United States. At 6,640 miles, it has more than the other 49 states combined. At 1,350 miles, what state has the second most ocean coastline?",Florida,,,
History,"In June 622, after being warned of a plot to assassinate him, Muhammad secretly left his home in Mecca to emigrate to Yathrib, 220 miles to the north. He soon renamed the city to what, in Arabic, literally translates to ""city"". To what did he rename this Yathrib?",Medina,,,
"History,Presidents",What US president endorsed the Louisiana Purchase in 1803?,Thomas Jefferson,,,
History,"In 1952, Albert Einstein was offered the presidency of what country?",Israel,,,
History,Whose 1939 nomination for the Nobel Peace Prize was retracted in February of that same year?,Adolf Hitler's,,,
"History,Presidents","In November of 1963 JFK was assasinated by Lee Harvey Oswald in Dealey Plaza in Dallas, TX. 2 days later Oswald was assasinated while in police custody.  Who shot LHO? ",Jack Ruby,,,
"History,Sports",What sports event did Rosie Ruiz win by cheating in 1980?,The Boston Marathon,,,
History,Socrates was sentenced to death by the forced ingestion of what type of deadly plant?,Hemlock,,,
History,Sergei Bubka has held the world record in what track and field event for more than twenty years?,Pole Vault,,,
History,What was the original Dutch name of New York City?,New Amsterdam,,,
History,How many soldiers are shown raising the flag over Iwo Jima in the famous photograph and statue?,6,TRUE,,
Food & Beverage,"In France, what would you buy in a Boulangerie?",Bread,,,
Food & Beverage,"How many standard bottles of wine are there in a Nebuchadnezzar? 10, 15 or 20",20 Bottles,,,
Food & Beverage,"In the beer world, what does the abbreviation IBU stand for?",International Bitterness Units,,,
Food & Beverage,"What type of sea creature is the Japanese monster, Ebirah?",Shrimp,,,
Food & Beverage,The berries of the juniper tree are used to flavour which alcoholic drink? ,Gin,,,
Food & Beverage,What continent was the original home to the red tomato?,South America,,,
Food & Beverage,"What seafood is considered a Christmas favourite in Paris, France?",Oysters,,,
Food & Beverage,What condiment is Lea & Perrins most famous for?,Worcestershire Sauce,,,
Food & Beverage,Gouda cheese comes from what country?,The Netherlands,,,
Food & Beverage,"In France, what is called ""pain perdu""?",French Toast,,,
Food & Beverage,"What crème-filled sandwich cookie, manufactured by Sunshine Biscuits for over ninety years, was discontinued when Sunshine was purchased by Keebler in 1999? It was introduced in 1908, 4 years before Oreos, and was re-introduced after Kellogg's bought Keebler in 2015.",Hydrox,TRUE,,
Not So Common Sense,"In English punctuation, a serial comma is placed immediately before the coordinating conjunction (usually and or or) in a series of three or more terms. What other name for this comma is derived from an Ivy League university's newspaper's formatting guidelines?",Oxford Comma,,,
Not So Common Sense,"What chemical element, also a member of the halogen family, is often used in hot tubs instead of chlorine since it does a better job killing algae and bacteria, and lasts for a longer period of time in warm water environments?",Bromine,,,
"Not So Common Sense,Medicine","What operation, consisting of a laparotomy and a hysterotomy, is the most commonly performed procedure in US hospitals?",C Section,,,
"Not So Common Sense,Sports",What is the official state sport of Alaska?,Dog Mushing,,,
Not So Common Sense,The Hall of Mirrors is the largest room in what famous structure?,Palace of Versailles,,,
Not So Common Sense,Who famously said to float like a butterfly and sting like a bee?,Mohammed Ali,,,
Not So Common Sense,"Where does Sherlock Holmes live in London, England?","221B Baker St London, England",,,
"Not So Common Sense,Medicine",An Apgar score is given to asses what?,Health of newborn babies,,,
"Not So Common Sense,Sports,Olympics",What is the first of the four different stroke's swum in swimming's individual medley?,Butterfly,,,
Not So Common Sense,Who was born Farrokh Bulsara?,Freddie Mercury,,,
Not So Common Sense,"While Will Shortz has been editor of the New York Times Crossword Puzzle, a timeframe spanning 1993 to present, what word, originating from Latin and defined as a period of time, has been the most common answer?",Era,TRUE,,
History,"In 1720, what Irish author began his best known work, a satire subtitled ""Travels into Several Remote Nations of the World. In Four Parts.""? The book became popular as soon as it was published.",Lemuel Gulliver,,,
History,"Isla de Pascua, a Chilean island in the southeastern Pacific Ocean, at the southeasternmost point of the Polynesian Triangle in Oceania, which was named a UNESCO World Heritage Site in 1995, is more commonly known by what name?",Easter Island,,,
History,"First announced in 2009, and launched earlier this year, the 685kg Parker probe will get closer to what object in our solar system than any other human-made object in history?",The Sun,,,
History,"In 2006, The Walt Disney Company purchased Pixar Animation Studios for $7.4 billion. In 1986 Pixar was spun off from what former parent? Today this company also finds itself under Disney's umbrella.",Lucasfilm,,,
"History,Christmas",Which river did Washington cross on Christmas night 1776?,Delaware River,,,
History,Which London palace was destroyed by fire in 1936?,The Crystal palace,,,
History,What European conflict lasted 115 years?,Hundred Years War,,,
History,"Who was assassinated at the Lorraine Motel in Memphis,Tennessee?",MLK,,,
History,What war saw the use of tanks in battle for first time?,WWI,,,
History,What was the nickname of American frontiersman Christopher Houston Carson?,Kit,,,
History,"Founded in 1526, and lasting until a it was formally taken over by the British in the 1850s, what Indo-Persian empire ruled over the majority of the Indian subcontinent in the late 17th and early 18th centuries?",Mughal Empire,TRUE,,
Food & Beverage,What cut of beef comes from between the neck and the shoulder blade?,Chuck,,,
Food & Beverage,What type of tea is flavored with oil from the bergamot orange?,Earl Grey,,,
Food & Beverage,What colour is Creme de menthe?,Green,,,
Food & Beverage,In France what kind of nuts are noisette?,Hazelnuts,,,
Food & Beverage,"In Cajun cuisine, what crustaceans are playfully referred to as mud bugs?",Crawfish,,,
Food & Beverage,What was the nickname of the MK2 hand grenade?,Pineapple,,,
Food & Beverage,What country produces Angostura Bitters?,Trinidad and Tobago,,,
Food & Beverage,What traditional dish is served at Wimbledon?,Stawberries and Cream,,,
Food & Beverage,"What is a ""rosti""? ",Pancake of fried grated potatoes (hashbrown),,,
Food & Beverage,"In 2018, for the first time in ten years, Lucky Charms retired a marshmallow, the hourglass, and added a new permanent marshmallow. What is the newest marshmallow to join the lineup?",Unicorn,,,
,"The original recipe for ""pound cake"" called for a pound of which ingredients?","Sugar, Flour, Butter, Eggs",TRUE,,
Not So Common Sense,What does Volkswagon mean in German?,People's Car,,,
Not So Common Sense,"If your vacation involved a #selfie in front of the Fremont Troll, a Duck Tour through Lake Union, and some time touring the Chihuly Garden and Glass exhibit, what North American city would you be visiting?",Seattle,,,
"Not So Common Sense,Presidents",What do the 36 columns surrounding the Lincoln Memorial represent?,The number of states at his death,,,
Not So Common Sense,Who was better known as Butch Cassidy?,Robert Leroy Parker,,,
Not So Common Sense,"On a standard Monopoly board, what are the two least expensive properties?",Mediterranean and Baltic,,,
Not So Common Sense,What does the abbreviation NASA stand for?,National Aeronautics and Space Administration,,,
Not So Common Sense,What is a community of ants called?,Colony,,,
Not So Common Sense,For what mysterious figure from the 1970s is the latch on the inside of some Boeing passenger jet doors named?,DB Cooper,,,
"Not So Common Sense,Sports",What do you call three under par in golf?,Albatross,,,
Not So Common Sense,What do Mc and Mac mean when used in surnames?,Son of,TRUE,,
History,What was the first building in the world to have more than 100 floors?,Empire State Building,,,
"History,Presidents",Who was US president when the stock market crashed in 1929?,Herbert Hoover,,,
History,How many days were there in the ancient Egyptian year?,365,,,
History,What is the oldest university in the US?,Harvard,,,
History,What company’s tea shipment was destroyed during the Boston Tea Party in 1773?,East India Co. / Trading Co.,,,
History,What was the first country to formally recognize the independence of the United States?,France,,,
History,What advancement ended the era of steamboats on the Mississippi River during the 1870s?,Railroads,,,
"History,Presidents",Who was the first US president to be impeached?,"Andrew Johnson - House, aquite senate 1 vote",,,
History,The USS Arizona Memorial commemorates the victims of what event?,Bombings of Pearl Harbor,,,
History,"Used to complete the first transcontinental railway, the last spike was made of what material?",gold,,,
History,Who was the second person to set foot on the moon?,Edwin Eugene (Buzz) Aldrin,TRUE,,
Food & Beverage,"In March of 1968, Cesar Chavez announced a worldwide boycott of what California food product?",grapes,,,
Food & Beverage,What kind of fruit juice is used to mix a Bloody Mary?,Tomato Juice,,,
Food & Beverage,What is a variety of coffee?,"Arabica Typica, Robusta, etc. ",,,
Food & Beverage,Kiwano is a type of what?,fruit,,,
Food & Beverage,What was the first soft drink to be consumed in outer space?,Coca Cola,,,
Food & Beverage,What traditional fruit cake do Germans eat around the Christmas season?,Stollen - fruits and nuts,,,
Food & Beverage,"Feijoada, the national dish of Brazil, originates from which country?",Portugal,,,
Food & Beverage,"The pasta shape called ""farfalle"" gets its name from the Italian word for what insect?",Butterfly,,,
Food & Beverage,"What Cajun dish is a mixture of rice, sausage, chicken, shrimp, oysters, spices and more?",Jambalaya,,,
Food & Beverage,What drink does Alfred order in the final batman movie when talking about his vacation in florence? ,Fernet Branca,,,
Food & Beverage,The ghost pepper is cultivated in what country?,Bangaldesh,TRUE,,
Not So Common Sense,What was Al Capone’s full first name?,Alphonse,,,
Not So Common Sense,What does abbreviation IQ stand for?,Intelligence Quotient,,,
Not So Common Sense,What is the main ingredient in glass?,Sand,,,
Not So Common Sense,Which gender has the XY chromosomes in human beings?,Male,,,
Not So Common Sense,What is another term for a badminton bird?,Shuttlecock,,,
Not So Common Sense,A plague is a group of what insect?,locust,,,
Not So Common Sense,What do spelunkers explore?,caves,,,
Not So Common Sense,What is the easternmost state in the contiguous US?,Maine,,,
Not So Common Sense,"On the standard Monopoly board, what color are the Chance cards?",orange,,,
Not So Common Sense,"How many pounds does a US gallon of water weigh? 8, 9, 10",8,,,
Not So Common Sense,What is the scientific name for the North Star? ,Polaris,TRUE,,
History,In what ship's 1945 sinking were there as many as eighty sailors eaten by whitetip sharks? ,The USS Indianapolis,,,
History,What Labrador retriever supplanted Socks the cat as the Clinton's favorite pet in 1997?,Buddy!,,,
History,"The city of Washington, DC was established on the shores of what river?",The Potomac,,,
History,What country gave the Statue of Liberty to the United States?,France,,,
History,Which US state's name is derived from the Spanish words for snowcovered?,Nevada,,,
Not So Common Sense,What animals live in a lodge?,Beaver,,,
Not So Common Sense,What is the largest country within the southern hemisphere?,"Australia, mate",,,
Not So Common Sense,"What company makes the ""Playstation"" console?",Sony,,,
Not So Common Sense,What is heaven to fallen Norse warriors?,Valhalla,,,
Not So Common Sense,What name did Superman have on Krypton?,Kal-El,,,
Not So Common Sense,How many daily tides are there?,Two,TRUE,,
Food & Beverage,What is missing from a navel orange?,Seeds,,,
Food & Beverage,What is a young bee fed to develop into a queen?,Royal Jelly,,,
Food & Beverage,A potoato famine caused thousands of immigrants of what nationality to travel to the US in the 1840's?,Irish,,,
Not So Common Sense,Mycology is the study of what?,Fungi,,,
Food & Beverage,What do most lobsters and crayfish do withi their shell after it has molted?,Eat it,,,
Food & Beverage,The first album by the Velvet Underground featured what fruit on the cover?,Banana,,,
Food & Beverage,What was the primary source of food for the Comanche Indians?,Buffalo,,,
Food & Beverage,"The popular caterpillar sushi roll features unagi, the Japanese word for what type of sea creature?",Eel,,,
Food & Beverage,Where might you drink Retsina wine?,Greece,,,
Food & Beverage,What fruit comes in the Eureka and Meyer varieties?,Lemon,,,
Food & Beverage,"BONUS: The juice of what is distilled to make the brazilian liquor, cachaca? ",sugarcane,TRUE,,
Not So Common Sense,What must be manufactured by Victorinox or Wenger to be official?,Swiss Army Knives,,,
Not So Common Sense,"Which New York Yankee was famously nicknamed ""Mr. October""? ",Reggie Jackson,,,
Not So Common Sense,"If ""feline"" is used to describe cat-like, what word describes ""bear-like""?",Ursine,,,
Not So Common Sense,"What was the name of He-Man's nemesis on the show ""He-Man and the Masters of the Universe""?",Skeletor,,,
Not So Common Sense,"What title for a retired professor comes from the Latin for ""having earned a discharge""?",Emeritus,,,
Not So Common Sense,"In the game of 9-ball, the pool balls are initially placed in a grouping of what shape?",Diamond,,,
Not So Common Sense,What literary character's parents were murdered in Godric's Hollow?,Harry Potter,,,
Not So Common Sense,What is the easternmost state in the contiguous US?,Maine,,,
Not So Common Sense,What is tattooed on Popeye's arm?,Anchor,,,
Not So Common Sense,Which of the following Media is read from the outside-in: CD's or Vinyl Records?,Vinyl Records,,,
Not So Common Sense,Name the three types of Columns invented by the ancient Greeks.  ,"Doric, Ionic, Corinthian",TRUE,,
